album,album_0,album_1,album_2,album_3,album_4,album_5,album_6
Anh Thích Thả Thính (Single),-0.004783283,0.008234833,0.016671713,0.017846305,0.010080031,-0.03538488,0.04579222
Anh Thương Em Lắm (Single),0.041337166,-0.0023223192,-0.0020547952,-0.01458929,0.012035603,-0.024661034,-0.010383447
Anh Trai Nắng (Single),-0.0006573241,-0.012616846,-0.0047895303,-0.004191336,0.013171008,-0.010741557,-0.002154367
Anh Trai Quốc Dân (Single),-0.015701357,-0.0052568493,0.015054035,-0.009454111,0.0072614388,-0.017381165,0.0222744
Anh Vui Là Được (Single),-0.015812803,-0.015811851,0.017032046,0.046070535,0.003638336,-0.020823453,0.052432142
Anh Vẫn Cứ Lo (Single),-0.0041153496,-0.0038143843,0.04128385,0.018832391,0.012395526,-0.005424635,0.06403045
Anh Vẫn Hy Vọng (Single),0.013140437,0.029453203,-0.03384196,-0.020517921,0.0080040675,-0.027818576,-0.038387205
Anh Xin Thề,-0.000314846,0.016187321,-0.0014110655,-0.0009793609,-0.014037402,0.008661142,-0.006259731
Anh Yêu Ah... (Single),0.02101706,0.0040446357,0.0064121024,0.011330391,0.017571544,-0.01397219,-0.0066625946
Anh Đang Ở Đâu Đấy Anh (Cover) (Single),0.01358054,-0.0041400143,-0.017830884,0.015148977,-0.021241507,0.027667731,-0.0403319
Anh Đang Ở Đâu Đấy Anh (New Version) (Single),0.0057753855,0.03129954,-0.00961902,-0.021231145,0.025899922,0.010899393,-0.020646984
Anh Đang Ở Đâu Đấy Anh (Single),-0.00755581,-0.01870922,-0.0021726894,0.033675138,0.002296909,0.030140024,-0.020380804
Anh Đâu Có Hay (Single),-0.0061932267,0.015008517,0.022094656,0.0056837685,-0.019175196,0.014870952,0.034282185
Anh Đã Biết Yêu (Single),0.030316448,-0.008052926,0.018967275,0.01273728,-0.011469053,-0.023141991,0.023095831
Anh Đã Mất Cơ Hội Rồi Đấy (Single),0.014333503,-0.0050037997,0.012463619,-0.032215618,0.031245906,-0.014799449,0.017105298
Anh Đừng Thương Người Ấy (Single),-0.06256825,0.025467893,0.008642329,-0.017128494,-0.0023032385,-0.008196616,0.048999928
Anh Ấy (Single),0.005064075,-0.01793152,0.029793939,0.025999358,-0.015498368,-0.026016494,0.014110466
Anh Ở Đây Em Ở Đâu (Single),-0.0014772378,0.014803288,-0.002937849,-0.0027813644,0.049161147,-0.019173736,0.017186303
Anh... (Single),0.0282921,0.008576034,-0.03181125,-0.024618786,-0.010875195,0.01496697,-0.040666115
Apostrophe,0.011017141,0.028019244,-0.042032808,-0.052130498,0.045400888,-0.026804304,-0.04804536
Around The World (Single),0.01657398,0.018269232,-0.055265814,-0.025463462,-0.01684459,0.010501453,-0.078982905
Asian Beauty - Nét Đẹp Á Đông,0.013731426,-0.021835065,-0.011747338,0.021644069,-0.0051273857,-0.015234901,-0.019901369
Ave Maria (Trăng Từ Bi),0.03739921,-0.003933293,0.029261962,0.006363255,0.013327191,-0.018840075,0.028992692
Ba Kể Con Nghe (Single),0.010390691,0.016837075,-0.00039745047,-0.007218267,-0.04368505,-0.027804736,0.015880456
Ba Lục Bình,-0.017084144,-0.00203332,-0.031603396,0.017677464,-0.05455635,0.02571339,-0.039771583
Ba Mẹ Không Đồng Ý (Single),-0.026760811,0.019831063,0.031226601,0.01107013,0.006668657,-0.03714496,0.08064167
Baby Don't Come Back (Single),0.020665046,-0.0026254295,0.013880488,-0.014513163,0.020568956,-0.012944375,-0.046597272
Baby I Told You (Single),0.012623996,0.004172401,0.02853634,0.044389814,-0.049614176,-0.030384153,0.054009408
Bad Boy (Asia Song Festival 2017),0.017613688,0.0038378756,0.022005914,-0.010580991,0.0097069545,-0.034094624,0.03100137
Bad Girl (Single),0.034697417,0.005414009,-0.026899535,-0.010682841,-0.023916632,0.053328633,-0.085246414
Bae Bae ! Yêu Anh Nhé ( Cô Vợ Con Nít OST) (Single),0.0047798743,-0.018978762,-0.0005762592,0.009007886,0.0063122595,-0.02536427,0.0012313991
Balo & Đi Thôi (Single),0.010711265,0.022767177,-0.06412943,-0.026238251,0.01425271,0.012176206,-0.024921227
Bao Lâu Anh Cũng Đợi (Single),-0.0018140182,-0.014732173,-0.009557242,0.014228469,0.0028283626,-0.01987476,0.04648303
Bao Lâu Chưa Gặp Nhau (Single),0.004808059,0.005041805,-0.008965612,0.004634938,-0.008295914,-0.029994179,-0.027946254
Bao Lâu Tôi Mới Có Người Yêu (Single),0.01308268,-0.017535828,-0.058217853,-0.039198734,-0.0047880784,0.0054311454,-0.029945206
Bao Năm Một Cuộc Tình (Single),0.007460964,0.00936324,-0.032499067,-0.022996103,0.0065618707,0.018773984,-0.041826457
Bao Năm Một Cuộc Tình?  (Single),0.022853868,0.0077419197,0.02213426,0.017267127,-0.0010500073,-0.054787707,0.028419074
Bartender (Single),0.0029831766,-0.018822912,0.024921414,0.01196095,0.027146935,-0.010770002,0.016157841
Bay Cùng Hoa Cỏ Mùa Xuân (Remix),0.016569369,0.0132129295,-0.017098805,0.00065586495,-0.02949484,-0.0151271345,-0.05044985
Bay Lên Em Ei (Single),-0.018770497,-0.01055678,0.037568696,0.029243892,-0.018503988,0.02006091,0.050670873
Bay Lên Những Ước Mơ,-0.010538305,-0.021769352,-0.0110499235,-0.019222666,0.0001941245,0.0239126,-0.0018415537
Beat 1,-0.016754713,-0.01259655,-0.03371801,0.00773115,-0.004722442,-0.009762051,-0.024406513
Beat 2,0.00078255014,0.018035972,-0.022677183,0.023419712,-0.02168097,0.005778796,-0.03573432
Biến Tan (Single),0.026597138,-0.01596905,0.017956963,0.0009832948,-0.013370404,-0.011986023,-0.0029925532
Biết Đau Nhưng Vẫn Yêu (Single),-0.026835745,-0.019709114,0.057418346,0.051359992,0.026854139,0.0063703745,0.1015053
Biết Ơn Chị Võ Thị Sáu (Single),0.009579189,-0.014184144,0.010559115,-0.015183652,-0.0051379204,0.013656957,0.009667514
Biển Cạn (Single),0.0018293678,-0.009590176,-0.0057379706,0.004876323,-0.022475088,0.006281665,-0.009809916
Biển Say Sóng,3.18259e-05,-0.042125802,-0.08430923,0.0026760653,-0.03190864,0.08027162,-0.1114407
Biển Và Anh Vẫn Hát,0.00015810653,-0.024260096,-0.003800581,-0.0060277907,-0.00803214,0.018541029,-0.034148335
Biển Đợi,-0.00088173745,-0.02046056,-0.084010266,-0.00036668777,-0.018994708,0.05666562,-0.085733704
Boleero,-0.024542196,-0.030577427,0.015616459,-0.025534634,0.011608215,0.008178041,-0.0025836616
Bolero,-3.6100486e-05,-0.00040299966,0.019587472,0.00081990287,0.055528153,-0.022460738,0.015154203
Bolero Miệt Vườn,0.007049018,0.011601994,0.07242254,0.00021746456,0.09018516,-0.06637861,0.09420136
Bolero Miệt Vườn 2,0.0042008804,-0.019176643,0.030383045,-0.021992931,0.00416933,-0.0125513645,0.026225686
Bolero Miệt Vườn 4,-0.018756375,-0.0061942074,0.043159265,-0.0076093725,-0.0054068803,0.011413154,0.043105707
Bolero... Tình Yêu,-0.0031536124,0.005024711,0.015586729,0.007078658,0.0020991433,0.0097564235,0.008861053
Boom Shakalaka (Single),0.014619073,0.01223156,-0.0012582068,-0.019820377,-0.021781567,0.003560645,0.0038052164
Buông Anh Để Ôm Người Khác (Single),0.009643836,-0.018552482,0.041179005,-0.0073584006,-0.0091699315,-0.018641926,-0.021439428
Buông Bỏ (Single),0.026328862,0.028421456,-0.0018210008,-0.008750022,-0.0009985494,-0.0016604371,-0.005540449
Buông Tay Dù Không Muốn,0.030099833,-0.007591328,0.00734407,-0.018981203,0.049624078,-0.03419935,-0.015841905
Buông Tay Rời Xa (Single),0.01977181,0.0038882878,0.010479217,0.006197574,0.04111648,-0.00418505,0.002488545
Buồn Của Anh (Cover) (Single),0.017065195,-0.0066211754,-0.0019755021,0.04876422,0.03320932,0.023156468,0.008118687
Buồn Của Anh (Masew Mix),-0.006226834,0.030691803,-0.0021657865,0.020439241,-0.020611687,0.008899557,-0.022649447
Buồn Của Anh (Remix) (Single),0.0338171,0.031024834,-0.004110388,0.0015473915,-0.004773819,-0.012548512,-0.024774974
Buồn Của Anh (Single),-0.01537465,0.0005959235,0.0055482737,0.008526707,-0.010729586,0.01492597,0.031999014
Buồn Của Anh (Solo Version) (Single),-0.0033149857,0.0066023483,-0.03078095,-0.05380693,-0.008726085,-0.008995013,-0.005479728
Buồn Của Em,-0.033923786,-0.020233149,0.030359918,0.0033134304,-0.0060424814,-0.0072146812,0.037592027
Buồn Của Em (Buồn Của Anh Cover) (Single),-0.0034869388,0.00039865,0.024255792,0.019369883,-0.0073854625,-0.015626539,0.056631017
Buồn Của Em (Cover),0.010452981,0.0030890987,-0.015105638,0.027424235,0.017495137,-0.0012405679,-0.03150589
Buồn Không Em (Cover) (Single),0.0014532475,0.018043604,0.01768505,0.01560051,0.03782179,-0.020843249,0.024059433
Buồn Lắm Tết Ơi (Single),0.0060425857,0.035668034,0.025474658,-0.0068555325,0.0056306696,-0.016197031,0.01845558
Buồn Vào Đêm,-0.010905701,-0.021227235,0.0038841125,0.014843365,0.0103724925,-0.0070092427,0.0007814465
Buồn Vì Ta Mất Nhau (Single),-0.019380057,0.01207706,-0.011521101,0.015039617,-0.029695988,-0.022066811,0.024891697
Buồn Vương Mi (Single),0.019436914,0.018843701,-0.02597124,-0.013822851,-0.0021285764,-0.0016505249,-0.0076990225
Buổi Sáng Bình Thường (Single),-0.002033192,-0.0018746301,0.013787751,-0.007655031,-0.006264468,0.0128433425,0.024586877
Bà Mẹ Quê,0.024774477,-0.011049082,0.0064179823,0.002457363,-0.016514009,-0.024807148,0.013043711
Bài Ca Doanh Nhân,-0.023308419,0.019942421,-0.026652027,-0.014253393,-0.011773256,0.019858098,-0.015467571
Bài Ca Kỷ Niệm,-0.0340476,0.0069844024,-0.034139246,0.00035291276,-0.05685643,0.021368261,-0.02149463
Bài Ca Trường Đồng Quan (Single),0.0187178,0.005728896,-0.0139690805,0.019518105,-0.011616176,-0.0331328,-0.042063814
Bài Ca Tết Cho Em (Single),-0.029926363,0.009313967,-0.057737667,0.025135571,-0.025439963,0.018271716,-0.033907514
Bài Mẹ Không Tên (Single),0.036751993,-0.0099691395,-0.013324773,-0.044219248,0.01290556,0.015017465,-0.074661955
Bài Nhạc Tình Khó Viết,-0.023737773,-0.035531245,-0.079964906,0.023687115,-0.08823423,0.06449976,-0.10598536
Bài Tango Cho Người Tình (Single),0.016826507,0.010136006,0.003727536,0.016954172,0.012276774,-0.008669848,-0.004949197
Bánh Gato (Single),-0.004770067,0.011264598,-0.019532487,-0.002112858,-0.028494302,0.02079891,-0.047023278
Bánh Xe Thời Gian (Single),0.019824259,-0.024040693,-0.020743124,-0.034493394,-0.0073223263,-0.0084428685,-0.046113238
Bây Giờ Em Thế Nào (Single),0.008809099,-0.01745672,0.0023788079,7.013902e-05,-0.0023885681,-0.019712936,0.026583076
"Bé Ơi, Gì Thế Nhỉ?",0.009478173,0.016592491,0.006503829,-0.010015462,0.04402136,0.044532564,0.057591237
Bên Em Là Anh (I'll Always Be With You) (Single),-0.02243906,-0.010800889,0.016183015,0.009678404,-0.041975107,0.003852412,0.05036997
Bên Em Là Biển Rộng,-0.010935761,-0.0026071914,0.047664136,0.037163913,-0.0015962392,-0.025218103,0.018363006
Bên Nhau Bao Lâu (Single),0.025389329,0.008734051,0.039119672,0.013017157,-5.0457566e-05,-0.03932477,0.012377699
Bên Nhau Chỉ Làm Thêm Đau,0.020579826,-0.0010442749,0.004347651,-0.03310486,0.030016173,0.0144829545,-0.0005018905
Bên Nhau Thật Khó (Single),0.0163703,0.023695428,-0.0035109292,-0.007890692,0.0016550882,-0.008610567,0.018616984
Bên Nhau Trong Mưa (EP),0.01494877,-0.0044138944,-0.0031877146,-0.017277973,0.021117462,-0.007819683,-0.053000163
Bên Nhau Được Mấy (Single),-0.015944337,-0.008481915,0.022645563,-0.013801517,0.009608908,0.0027014231,0.043828864
Bình Tĩnh Sống (Single),-0.0040536495,0.0046809893,0.031410854,-0.020425035,-0.026619121,0.016367365,0.017887194
Bình Yên Nơi Anh (Single),-0.021389294,0.0037553147,0.03189989,0.042085774,-0.013189254,0.009070849,0.048456162
Bóng Dáng Mẹ Hiền,-0.006461227,-0.03210998,-0.038677707,-0.003346926,-0.033482373,0.029537722,-0.06329409
Bông Hồng Cài Áo,-0.0146585135,-0.021046933,-0.04465741,0.022012802,-0.05160179,0.035452157,-0.058874033
Bông Sầu Đâu (Single),0.024201179,0.0018032349,0.033772606,-0.012007166,0.014191752,-0.010807591,0.025231296
Bùa Yêu (Edm Version) (Single),-0.019040544,-0.002284449,0.0007856287,0.0075191543,0.025097217,-0.009375453,0.027253726
Bùa Yêu (Remix),-0.020642202,-0.0074825124,0.012414463,0.018964896,0.015013263,-0.014918366,0.002792585
Búp Bê Xinh,-0.027071854,-0.024638716,-0.0021580786,-0.012073644,-0.020246403,-0.000579907,0.013541426
Bạn (Single),-0.026682293,0.012638678,-0.0033526956,0.047706384,0.011152674,0.0052061044,0.08126505
Bản Tình Ca Cho Em,0.018179363,-0.010766502,-0.039108213,0.046897996,-0.0064936904,0.021673309,-0.03230203
Bản Tình Cuối (Vol 6),0.01798006,-0.0032735406,-0.030448968,-0.012143271,0.0065690326,-0.03472075,0.00021661297
Bảo Lộc - Thành Phố Tình Ca,0.015368792,-0.033887036,-0.023803826,0.023985352,-0.031152982,-0.014973326,-0.08312677
Bảo Nguyên Collection (single),-0.009709622,-0.009787123,-0.049542677,0.019280951,-0.031216657,0.033799242,-0.047157057
Bất Chấp Yêu Em (Single),0.012913257,0.0031451907,0.025929917,0.005142909,0.0060288785,-2.186969e-05,-0.0056970147
Bất Chợt Ta Nhìn Nhau,-0.028923536,-0.013169551,-0.10159266,0.03354575,-0.04959152,0.060706258,-0.05092714
Bầu Trời Gọi Tên Em (Single),0.010548169,0.012788962,-0.029637456,0.017363727,0.011153827,-0.0023128532,-0.04640319
Bắt Đầu Một Kết Thúc (Cover) (Single),0.011104586,-0.011655922,-0.014061818,0.0044090026,-0.0066156955,0.012083052,-0.018216815
Bến Bờ Cho Con,0.022366567,-0.0256944,0.017685592,0.009442209,0.054868173,-0.021208297,0.023523465
Bỏ Anh Đi (Single),-0.0013322711,-0.00081076624,0.0047562257,-0.008306409,-0.01076,0.0087558385,-0.021016419
Bỏ Cả Thế Giới Để Yêu Một Người (Single),0.0074631176,0.017145906,0.029687773,0.02465184,0.03615492,-0.041141238,0.06678728
Bỏ Quên (Single),0.017592663,-0.034790464,-0.035034046,-0.043092526,0.002864395,0.027160686,-0.04361681
Bối Rối,0.0040947115,0.0017556302,0.002373463,-0.028685903,0.019184735,-0.012990216,-0.040901065
